date,slot,pillar,topic,hook_formula,slug,status
2026-08-06,07:30,Parent Scripts,What to say when your child says 'I'm just not a maths person',1 Contradiction,2026-08-06_what-to-say-when-your-child-says-i-m-just-not-a-math,planned
2026-08-06,19:30,Inside the Method,What actually happens in an SJK diagnostic session,2 Cost of Inaction,2026-08-06_what-actually-happens-in-an-sjk-diagnostic-session,planned
2026-08-07,07:30,Maths Confidence,Your child isn't bad at maths — they're two topics behind,3 Insider,2026-08-07_your-child-isn-t-bad-at-maths-they-re-two-topics-beh,planned
2026-08-07,19:30,School Choice,Three questions to ask on a Dubai school tour that they hope you won't,4 Named Enemy,2026-08-07_three-questions-to-ask-on-a-dubai-school-tour-that-t,planned
2026-08-08,07:30,Reactive,What this week's exam board announcement means for your child,5 Specific Number,2026-08-08_what-this-week-s-exam-board-announcement-means-for-y,planned
2026-08-08,19:30,Parent Scripts,How to respond to a bad report without losing the next six months,6 Direct Address,2026-08-08_how-to-respond-to-a-bad-report-without-losing-the-ne,planned
2026-08-09,07:30,Curriculum Decoded,IGCSE vs IB Maths — which actually opens more university doors,7 Permission,2026-08-09_igcse-vs-ib-maths-which-actually-opens-more-universi,planned
2026-08-09,19:30,Maths Confidence,The fractions gap in Year 7 that shows up as failure in Year 10,8 Unanswerable Question,2026-08-09_the-fractions-gap-in-year-7-that-shows-up-as-failure,planned
2026-08-10,07:30,Curriculum Decoded,What 'Extended' vs 'Core' IGCSE Maths really decides about your child's future,9 Prediction,2026-08-10_what-extended-vs-core-igcse-maths-really-decides-abo,planned
2026-08-10,19:30,Parent Scripts,The sentence that ends a homework argument in ten seconds,1 Contradiction,2026-08-10_the-sentence-that-ends-a-homework-argument-in-ten-se,planned
2026-08-11,07:30,Maths Confidence,"Why speed drills make maths anxiety worse, not better",2 Cost of Inaction,2026-08-11_why-speed-drills-make-maths-anxiety-worse-not-better,planned
2026-08-11,19:30,School Choice,What the KHDA rating actually measures — and what it doesn't,3 Insider,2026-08-11_what-the-khda-rating-actually-measures-and-what-it-d,planned
2026-08-12,07:30,Reactive,The Dubai school fee change parents should read carefully,4 Named Enemy,2026-08-12_the-dubai-school-fee-change-parents-should-read-care,planned
2026-08-12,19:30,Curriculum Decoded,A Level Maths vs Further Maths — who genuinely needs both,5 Specific Number,2026-08-12_a-level-maths-vs-further-maths-who-genuinely-needs-b,planned
2026-08-13,07:30,Parent Scripts,What to say at parents' evening to get a real answer,6 Direct Address,2026-08-13_what-to-say-at-parents-evening-to-get-a-real-answer,planned
2026-08-13,19:30,Inside the Method,How I find the exact topic where a child's maths broke,7 Permission,2026-08-13_how-i-find-the-exact-topic-where-a-child-s-maths-bro,planned
2026-08-14,07:30,Maths Confidence,What 'showing your working' is actually training,8 Unanswerable Question,2026-08-14_what-showing-your-working-is-actually-training,planned
2026-08-14,19:30,School Choice,How to read a school's exam results page properly,9 Prediction,2026-08-14_how-to-read-a-school-s-exam-results-page-properly,planned
2026-08-15,07:30,Reactive,New UK university entry requirements — who is affected,1 Contradiction,2026-08-15_new-uk-university-entry-requirements-who-is-affected,planned
2026-08-15,19:30,Parent Scripts,How to ask a teacher for help without it sounding like a complaint,2 Cost of Inaction,2026-08-15_how-to-ask-a-teacher-for-help-without-it-sounding-li,planned
2026-08-16,07:30,Curriculum Decoded,"The difference between Edexcel and Cambridge IGCSE Maths, in plain English",3 Insider,2026-08-16_the-difference-between-edexcel-and-cambridge-igcse-m,planned
2026-08-16,19:30,Maths Confidence,The difference between not understanding and not remembering,4 Named Enemy,2026-08-16_the-difference-between-not-understanding-and-not-rem,planned
2026-08-17,07:30,Curriculum Decoded,Why an A* at IGCSE doesn't predict an A at A Level,5 Specific Number,2026-08-17_why-an-a-at-igcse-doesn-t-predict-an-a-at-a-level,planned
2026-08-17,19:30,Parent Scripts,What not to say when your child gets a grade you're disappointed by,6 Direct Address,2026-08-17_what-not-to-say-when-your-child-gets-a-grade-you-re,planned
2026-08-18,07:30,Maths Confidence,Why your child can do the homework but fails the test,7 Permission,2026-08-18_why-your-child-can-do-the-homework-but-fails-the-tes,planned
2026-08-18,19:30,School Choice,The class size number schools quote and the one that matters,8 Unanswerable Question,2026-08-18_the-class-size-number-schools-quote-and-the-one-that,planned
2026-08-19,07:30,Reactive,What the latest KHDA inspection cycle is actually rewarding,9 Prediction,2026-08-19_what-the-latest-khda-inspection-cycle-is-actually-re,planned
